source,target,strength
86,9,1794894
87,9,67636
88,9,353861
89,9,371379
90,9,41662
91,9,86531
92,9,101170
93,9,152652
94,9,91151
95,9,37664
96,9,55384
97,9,66691
98,9,809324
99,9,75226
100,9,126401
101,9,162820
102,9,106868
103,9,97321
104,9,1126794
105,9,57397
106,9,57570
107,9,41468
108,9,151442
109,9,141016
110,9,178614
111,9,77259
112,9,109970
113,9,290718
114,9,36501
115,9,171436
116,9,42748
117,9,25348
118,9,62994
119,9,39679
120,9,49086
121,9,50847
122,9,16780
123,9,42726
124,9,286200
125,9,45133
126,9,16270
127,9,47752
128,9,18687
129,9,41143
130,9,29443
131,9,11535
132,9,28638
133,9,25804
134,9,13105
11,10,3612501
12,10,9880532
13,10,25937964
14,10,6210566
15,10,11647948
16,10,3806812
17,10,34940736
18,10,690413
19,10,3614663
20,10,7352900
21,10,2212828
22,10,1439459
23,10,6250347
24,10,12862161
25,10,6570173
26,10,3241149
27,10,2315480
28,10,1150970
29,10,3303787
30,10,8430512
31,10,3718993
32,10,1778971
33,10,4613322
34,10,2240748
35,10,2133877
36,10,37620227
37,10,9127637
38,10,6403481
39,10,2147067
40,10,6910786
41,10,8046058
42,10,4181430
43,10,4135747
44,10,7001491
45,10,1401302
46,10,614312
47,10,815721
48,10,3603308
49,10,914835
50,10,2626223
51,10,4987500
52,10,2160912
53,10,1516354
54,10,1058187
55,10,561878
56,10,1170247
57,10,730247
58,10,2331156
59,10,3218673
60,10,14737106
61,10,4702225
62,10,2057646
63,10,246986
64,10,2553628
65,10,2167643
66,10,1237720
67,10,1179372
68,10,1256826
69,10,1230364
70,10,1189784
71,10,3149942
72,10,406012
73,10,1127968
74,10,1179638
75,10,2102317
76,10,10852957
77,10,709214
78,10,1499493
79,10,1868526
80,10,245851
81,10,943312
82,10,597645
83,10,467397
84,10,4234294
85,10,649687
86,10,700844
87,10,153640
88,10,3478146
89,10,1628063
90,10,215385
91,10,586369
92,10,382862
93,10,2947882
94,10,678213
95,10,204514
96,10,361377
97,10,127485
98,10,249975
99,10,509549
100,10,152326
101,10,930353
102,10,608158
103,10,481052
104,10,1941380
105,10,193206
106,10,453905
107,10,146847
108,10,257801
109,10,652683
110,10,1358432
111,10,433429
112,10,261025
113,10,187347
114,10,288667
115,10,228835
116,10,177401
117,10,107793
118,10,594366
119,10,86930
120,10,358448
121,10,274667
122,10,66074
123,10,481261
124,10,914470
125,10,280148
126,10,40696
127,10,119402
128,10,804928
129,10,110503
130,10,78707
131,10,47879
132,10,82196
133,10,84033
134,10,78978
12,11,924862
13,11,4690027
14,11,1901447
15,11,4258404
16,11,17193501
17,11,2102285
18,11,6508176
19,11,6203744
20,11,635711
21,11,1271852
22,11,5744905
23,11,713502
24,11,8398968
25,11,913125
26,11,752568
27,11,832006
28,11,10499423
29,11,978031
30,11,806515
31,11,439270
32,11,1054684
33,11,253817
34,11,423109
35,11,874693
36,11,602660
37,11,1452102
38,11,407158
39,11,905301
40,11,644689
41,11,1351100
42,11,433197
43,11,1320281
44,11,603408
45,11,2541147
46,11,594525
47,11,514307
48,11,3134587
49,11,422196
50,11,529950
51,11,226511
52,11,395846
53,11,5279027
54,11,240010
55,11,549466
56,11,166576
57,11,89034
58,11,238695
59,11,256665
60,11,1560396
61,11,641453
62,11,1086146
63,11,142818
64,11,420207
65,11,1756721
66,11,191972
67,11,1466644
68,11,235116
69,11,109796
70,11,112752
71,11,451931
72,11,125096
73,11,73313
74,11,163303
75,11,156339
76,11,153305
77,11,67557
78,11,840850
79,11,97145
80,11,113722
81,11,103921
82,11,73094
83,11,121341
84,11,1668045
85,11,102106
86,11,101628
87,11,184605
88,11,114494
89,11,2844190
90,11,51672
91,11,63897
92,11,269847
93,11,76757
94,11,88609
95,11,91972
96,11,63025
97,11,9059369
98,11,55369
99,11,153351
100,11,3813861
101,11,58032
102,11,91007
103,11,369500
104,11,90723
105,11,93334
106,11,169217
107,11,151890
108,11,42611
109,11,121260
110,11,106055
111,11,172367
112,11,69659
113,11,105089
114,11,29775
115,11,54970
116,11,243787
117,11,31879
118,11,50034
119,11,28143
120,11,45472
121,11,69136
122,11,23798
123,11,72281
124,11,43237
125,11,58415
126,11,5852985
127,11,103951
128,11,14949
129,11,284641
130,11,33490
131,11,71987
132,11,234106
133,11,28055
134,11,24754
13,12,3061657
14,12,1742303
15,12,7217331
16,12,1230357
17,12,28660819
18,12,295196
19,12,859555
20,12,44867553
21,12,475777
22,12,485272
23,12,16265111
24,12,3399542
25,12,10014739
26,12,382296
27,12,512755
28,12,594107
29,12,485771
30,12,1340924
31,12,258094
32,12,647072
33,12,12724984
34,12,604138
35,12,245538
36,12,601630
37,12,986432
38,12,891744
39,12,693165
40,12,795940
41,12,786282
42,12,988484
43,12,783600
44,12,906099
45,12,313503
46,12,185121
47,12,121104
48,12,715621
49,12,389728
50,12,288501
51,12,4473554
52,12,221637
53,12,310610
54,12,205715
55,12,84503
56,12,97108
57,12,2310000
58,12,164747
59,12,239013
60,12,1006571
61,12,374521
62,12,239686
63,12,51706
64,12,189020
65,12,366305
66,12,2679453
67,12,291955
68,12,493793
69,12,1809775
70,12,3484407
71,12,227922
72,12,81776
73,12,1770284
74,12,96508
75,12,235567
76,12,451538
77,12,1618551
78,12,146163
79,12,190745
80,12,48798
81,12,3272683
82,12,1786344
83,12,119396
84,12,594695
85,12,88023
86,12,6076669
87,12,54214
88,12,174945
89,12,427237
90,12,29442
91,12,52497
92,12,86865
93,12,67673
94,12,68081
95,12,30962
96,12,44660
97,12,46846
98,12,829907
99,12,74071
100,12,55064
101,12,130542
102,12,57594
103,12,83968
104,12,317053
105,12,49070
106,12,43202
107,12,35816
108,12,91219
109,12,80758
110,12,88765
111,12,66032
112,12,61274
113,12,24264
114,12,16997
115,12,190461
116,12,48079
117,12,131727
118,12,59124
119,12,22128
120,12,44687
121,12,21754
122,12,20634
123,12,34417
124,12,81829
125,12,18638
126,12,12875
127,12,35115
128,12,13271
129,12,27610
130,12,32610
131,12,11766
132,12,20233
133,12,23534
134,12,6789
14,13,3546776
15,13,11548512
16,13,3651325
17,13,17004663
18,13,1858294
19,13,2427654
20,13,2003519
21,13,1635063
22,13,1444579
23,13,3026435
24,13,11841611
25,13,2087452
26,13,1870690
27,13,3386118
28,13,1679614
29,13,3563145
30,13,2641517
31,13,14296109
32,13,1300470
33,13,1248300
34,13,1240009
35,13,701298
36,13,11812391
