mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
957,441,11,912,919,876,563,887,667
1308,186,11,1175,503,661,137,1633,731
926,387,11,1248,881,1008,732,1237,122
423,245,11,340,201,916,862,1505,916
400,490,11,1769,629,753,529,887,317
533,185,11,1444,105,670,478,1396,122
991,529,11,1192,36,910,680,1497,588
845,371,11,1488,949,686,545,914,229
1189,787,11,1627,470,1231,701,836,638
1005,312,11,513,814,652,325,1560,448
1037,746,11,141,805,686,434,1218,826
1117,716,11,1801,674,1263,134,853,797
446,201,11,335,806,1045,427,582,712
1456,310,11,1534,969,1194,604,1159,893
386,219,11,1117,674,969,307,1465,933
789,572,11,1204,443,1265,509,1228,211
1169,489,11,1378,400,1291,649,514,512
1030,784,11,390,318,1048,475,619,696
1037,724,11,1324,842,1407,129,1243,922
1208,348,11,1931,659,1210,522,1162,746
875,288,11,558,504,918,760,1249,289
350,490,11,1040,474,1214,106,1550,784
729,272,11,259,946,1054,267,563,402
1529,237,11,161,947,800,590,914,715
986,195,11,1055,52,1475,227,1487,198
1288,893,11,1181,186,805,244,1390,57
1212,685,11,1597,509,1172,773,801,802
861,690,11,1007,839,714,365,574,596
349,248,11,1882,515,1140,204,1451,775
1340,582,11,1048,14,777,298,558,695
609,441,11,1908,197,661,208,1339,830
718,483,11,1258,632,982,556,1544,194
1587,202,11,457,741,537,466,793,776
1185,737,11,302,440,1016,447,1103,826
612,267,11,1509,602,630,301,728,722
713,211,11,669,681,1245,66,1325,421
977,831,11,653,412,804,180,379,392
1337,490,11,941,968,768,455,1183,909
874,373,11,1373,133,640,151,1257,941
1304,485,11,616,56,1048,633,715,263
1263,853,11,1120,22,1032,116,531,624
571,170,11,1534,266,1208,623,596,269
1203,317,11,1151,121,1142,800,673,227
938,217,11,1238,925,891,837,756,630
609,406,11,1813,601,1373,448,1369,579
1383,663,11,934,358,1179,430,805,837
1309,218,11,90,136,934,387,1439,630
860,331,11,1120,701,786,163,1474,388
1293,453,11,783,977,939,302,1592,554
1035,850,11,1084,585,1335,120,904,824
691,814,11,1415,445,1133,170,803,267
392,286,11,911,843,1194,209,913,304
1562,312,11,1692,968,631,547,1461,798
1387,598,11,338,342,1258,318,629,274
1137,345,11,1326,764,737,365,1422,291
1525,264,11,521,685,575,193,1385,446
1377,269,11,1657,844,1125,559,381,556
1261,629,11,1554,475,894,601,609,619
973,145,11,830,198,684,145,387,521
680,135,9,1736,345,1058,408,1613,818
1263,559,9,1579,689,893,262,1550,697
373,286,9,577,656,1135,54,1168,704
1626,287,9,1443,64,1058,570,697,716
859,669,9,1841,848,1004,821,1405,45
1193,190,9,150,420,1021,419,867,246
1044,321,9,1835,436,1270,105,630,536
682,430,9,437,941,1319,62,1197,99
1051,350,9,490,479,615,217,1170,122
1597,190,9,1584,351,755,280,381,461
1340,567,9,1320,224,1263,171,1590,163
906,722,9,377,18,993,152,764,323
684,744,9,1382,637,1309,489,1509,120
