status,gender1,gender2,age1,age2,couples
2,F,F,20,16,3121
2,F,F,20,17,4030
2,F,F,20,18,6038
2,F,F,20,19,11312
2,F,F,20,20,18233
2,F,F,20,21,8202
2,F,F,20,22,4394
2,F,F,20,23,2462
2,F,F,20,24,1323
2,F,F,20,25,915
2,F,F,20,26,644
2,F,F,20,27,461
2,F,F,20,28,350
2,F,F,20,29,292
2,F,F,20,30,211
2,F,F,20,31,166
2,F,F,20,32,181
2,F,F,20,33,109
2,F,F,20,34,78
2,F,F,20,35,79
2,F,F,20,36,61
2,F,F,20,37,53
2,F,F,20,38,45
2,F,F,20,39,44
2,F,F,20,40,39
2,F,F,20,41,36
2,F,F,20,42,41
2,F,F,20,43,29
2,F,F,20,44,37
2,F,F,20,45,23
2,F,F,20,46,23
2,F,F,20,47,22
2,F,F,20,48,19
2,F,F,20,49,10
2,F,F,20,50,21
2,F,F,20,51,7
2,F,F,20,52,25
2,F,F,20,53,24
2,F,F,20,54,8
2,F,F,20,55,11
2,F,F,20,56,7
2,F,F,20,57,9
2,F,F,20,58,6
2,F,F,20,59,2
2,F,F,20,60,6
2,F,F,20,61,3
2,F,F,20,62,19
2,F,F,20,63,10
2,F,F,20,64,4
2,F,F,20,65,3
2,F,F,20,66,8
2,F,F,20,67,22
2,F,F,20,68,13
2,F,F,20,69,6
2,F,F,20,70,4
2,F,F,20,71,2
2,F,F,20,72,6
2,F,F,20,73,5
2,F,F,20,74,9
2,F,F,20,75,5
2,F,F,20,76,3
2,F,F,20,77,5
2,F,F,20,78,4
2,F,F,20,79,4
2,F,F,20,80,6
2,F,F,20,82,4
2,F,F,20,83,10
2,F,F,20,84,2
2,F,F,20,85,1
2,F,F,20,86,3
2,F,F,20,87,5
2,F,F,20,88,5
2,F,F,20,89,6
2,F,F,20,90,12
2,F,F,20,91,5
2,F,F,20,92,9
2,F,F,20,93,15
2,F,F,20,94,14
2,F,F,20,95,7
2,F,F,20,96,4
2,F,F,20,97,8
2,F,F,20,98,9
2,F,F,20,99,9
2,F,F,20,100,25
2,F,F,20,101,12
2,F,F,20,102,70
2,F,F,20,103,37
2,F,F,20,104,2
2,F,F,20,105,4
2,F,F,20,106,7
2,F,F,20,107,48
2,F,F,20,108,34
2,F,F,20,112,7
2,F,F,20,113,2
2,F,F,21,13,495
2,F,F,21,14,1262
2,F,F,21,15,1743
2,F,F,21,16,1985
2,F,F,21,17,2401
2,F,F,21,18,3549
2,F,F,21,19,5133
2,F,F,21,20,8661
2,F,F,21,21,13826
2,F,F,21,22,7045
2,F,F,21,23,3298
2,F,F,21,24,1904
2,F,F,21,25,1184
2,F,F,21,26,788
2,F,F,21,27,570
2,F,F,21,28,425
2,F,F,21,29,358
2,F,F,21,30,253
2,F,F,21,31,216
2,F,F,21,32,181
2,F,F,21,33,148
2,F,F,21,34,93
2,F,F,21,35,69
2,F,F,21,36,56
2,F,F,21,37,64
2,F,F,21,38,44
2,F,F,21,39,45
2,F,F,21,40,46
2,F,F,21,41,38
2,F,F,21,42,34
2,F,F,21,43,35
2,F,F,21,44,29
2,F,F,21,45,18
2,F,F,21,46,28
2,F,F,21,47,21
2,F,F,21,48,14
2,F,F,21,49,17
2,F,F,21,50,11
2,F,F,21,51,5
2,F,F,21,52,21
2,F,F,21,53,16
2,F,F,21,54,5
2,F,F,21,55,8
2,F,F,21,56,4
2,F,F,21,57,9
2,F,F,21,58,6
2,F,F,21,59,4
2,F,F,21,60,4
2,F,F,21,61,4
2,F,F,21,62,17
2,F,F,21,63,7
2,F,F,21,64,2
2,F,F,21,65,1
2,F,F,21,66,3
2,F,F,21,67,10
2,F,F,21,68,11
2,F,F,21,69,7
2,F,F,21,70,3
2,F,F,21,71,4
2,F,F,21,72,2
2,F,F,21,73,7
2,F,F,21,74,6
2,F,F,21,75,1
2,F,F,21,76,2
2,F,F,21,77,6
2,F,F,21,78,4
2,F,F,21,79,5
2,F,F,21,80,2
2,F,F,21,81,3
2,F,F,21,82,2
2,F,F,21,83,12
2,F,F,21,84,2
2,F,F,21,85,4
2,F,F,21,86,4
2,F,F,21,87,6
2,F,F,21,88,3
2,F,F,21,89,4
2,F,F,21,90,3
2,F,F,21,91,11
2,F,F,21,92,13
2,F,F,21,93,13
2,F,F,21,94,5
2,F,F,21,95,7
2,F,F,21,96,1
2,F,F,21,97,7
2,F,F,21,98,4
2,F,F,21,99,16
2,F,F,21,100,17
2,F,F,21,101,16
2,F,F,21,102,67
2,F,F,21,103,35
2,F,F,21,104,3
2,F,F,21,105,5
2,F,F,21,106,7
2,F,F,21,107,63
2,F,F,21,108,43
2,F,F,21,109,1
2,F,F,21,111,1
2,F,F,21,112,5
2,F,F,21,113,2
2,F,F,22,13,828
2,F,F,22,14,1908
2,F,F,22,15,2483
2,F,F,22,16,2543
2,F,F,22,17,2648
2,F,F,22,18,3257
2,F,F,22,19,3867
2,F,F,22,20,4647
2,F,F,22,21,7198
2,F,F,22,22,11727
2,F,F,22,23,5623
2,F,F,22,24,2624
2,F,F,22,25,1648
2,F,F,22,26,1138
2,F,F,22,27,814
2,F,F,22,28,620
2,F,F,22,29,463
2,F,F,22,30,378
2,F,F,22,31,270
2,F,F,22,32,314
2,F,F,22,33,214
2,F,F,22,34,146
2,F,F,22,35,114
2,F,F,22,36,109
2,F,F,22,37,87
2,F,F,22,38,81
2,F,F,22,39,59
2,F,F,22,40,48
2,F,F,22,41,52
2,F,F,22,42,45
2,F,F,22,43,39
2,F,F,22,44,34
2,F,F,22,45,27
2,F,F,22,46,26
2,F,F,22,47,21
2,F,F,22,48,13
2,F,F,22,49,16
2,F,F,22,50,9
2,F,F,22,51,15
2,F,F,22,52,19
2,F,F,22,53,16
2,F,F,22,54,9
2,F,F,22,55,12
2,F,F,22,56,7
2,F,F,22,57,9
